Flight	From	To
U6143	Moscow	Anapa
SU1152	Moscow	Gelendzik
U6141	Moscow	Rostov
SU1546	Moscow	Anapa
SU1147	Anapa	Moscow
SU1905	Simferopol	Moscow
SU5304	Moscow	Rostov
SU1822	Moscow	Simferopol
U62831	Moscow	Simferopol
UT493	Moscow	Rostov
SU1285	Krasnodar	Moscow
SU6721	St. Petersburg	Rostov
SU6861	St. Petersburg	Simferopol
YC9372	Antalya	Moscow
IN301	Moscow	
SU6651	St. Petersburg	Sochi
LH8415	Alma-ata	Frankfurt
SU6601	St. Petersburg	Anapa
R25958	Anapa	Omsk
SU502	Moscow	Tel-aviv
UN181	Moscow	Rostov
S71154	Rostov	Moscow
UN143	Moscow	Anapa
SU1847	Simferopol	Moscow
T53745		
UT397	Moscow	Gelendzik
	Larnaca	Nizhniy Novgorod
IN120		
U6453	Rostov	St. Petersburg
NN344	Simferopol	Moscow
U6201	Yekaterinburg	Anapa
	Leipzig	Bangkok
A2121		
SU6722	Rostov	St. Petersburg
SU1547	Anapa	Moscow
UT590	Rostov	Moscow
UT459	Moscow	Anapa
SU2072	Moscow	Larnaca
R26588	Kos	
U6144	Anapa	Moscow
R25956	Anapa	Perm
SU1273	Krasnodar	Moscow
QR167	Doha	Stockholm
SU1821	Simferopol	Moscow
SU1102	Moscow	Krasnodar
UT367	Moscow	Rostov
UN182	Rostov	Moscow
SU6602	Anapa	St. Petersburg
	Warsaw	Hong Kong
PK757	Lahore	London
SU5313	St. Petersburg	Rostov
OS607	Vienna	Krasnodar
UN144	Anapa	Moscow
UT249	Moscow	Sochi
PS515	Kiev	Tbilisi
SU5381	St. Petersburg	Sochi
OS659	Vienna	Rostov
U62832	Simferopol	Moscow
SU6621	St. Petersburg	Krasnodar
PK791	Islamabad	Birmingham
J2684	Kiev	Baku
SQ308	Singapore	London
7K9337	Moscow	
SU6862	Simferopol	St. Petersburg
U6202	Anapa	Yekaterinburg
N45813	Heraklion	
SU5327	St. Petersburg	Krasnodar
S7165	Moscow	Simferopol
IN302	Simferopol	
SU1823	Simferopol	Moscow
SU1910	Moscow	Simferopol
UT368	Rostov	Moscow
SU5330	Rostov	Yerevan
UN218	Simferopol	Moscow
AL4353		
UT460	Anapa	Moscow
5N105	Arkhangelsk	Anapa
MH4	Kuala Lumpur	London
OS660	Rostov	Vienna
UT5108	Antalya	Rostov
B2925	Minsk 2	Sochi
S71123	Moscow	Anapa
R26587	Belgorod	
	Moscow	Larnaca
	Moscow	Antalya
T53742	Kiev	
SU1848	Moscow	Simferopol
SQ345	Zurich	Singapore
SU5363	Rostov	Moscow
KC904	Amsterdam	Atyrau
BR88	Paris	Taipei
HY232	Frankfurt	Tashkent
3S531	Bangalore	Leipzig
9W118	Mumbai	London
N45977	Rostov	
MH17	Amsterdam	Kuala Lumpur
VS301	Delhi	London
SQ351	Copenhagen	Singapore
SU2074	Moscow	Larnaca
EY62	Minsk 2	Abu Dhabi
KL876	Bangkok	Amsterdam
U6157	Moscow	Anapa
MH21	Paris	Kuala Lumpur
9W122	Delhi	London
AI113	Delhi	Birmingham
YC505	Tyumen	Simferopol
SU5300	Moscow	Rostov
5N108	Anapa	Syktyvkar
BR75	Bangkok	Amsterdam
SU1142	Moscow	Anapa
UT5189	Moscow	
PS516	Tbilisi	Kiev
S7166	Simferopol	Moscow
UT589	Moscow	Rostov
OS608	Krasnodar	Vienna
7K9338	Simferopol	Moscow
UN191	Moscow	Rostov
UT525	Khanty-Mansiysk	Anapa
S71124	Anapa	Moscow
BR67	Bangkok	London
TG916	Bangkok	London
U62841	Moscow	Simferopol
SU2073	Larnaca	Moscow
NN335	Moscow	Simferopol
TG924	Bangkok	Munich
AI121	Delhi	Frankfurt
SU1824	Moscow	Simferopol
PK701	Islamabad	Manchester
EK158	Stockholm	Dubai
SU1911	Simferopol	Moscow
MH3	London	Kuala Lumpur
U6454	St. Petersburg	Rostov
SU503	Tel-aviv	Moscow
B2926	Sochi	Minsk 2
NN345	Moscow	Simferopol
	Rostov	Dalaman
SU5331	Yerevan	Rostov
LH760	Frankfurt	Delhi
TG931	Paris	Bangkok
SU5303	Rostov	Moscow
UT461	Moscow	Anapa
LH773	Bangkok	Frankfurt
R25955	Perm	Anapa
U6158	Anapa	Moscow
TG911	London	Bangkok
SQ326	Singapore	Frankfurt
SU6863	St. Petersburg	Simferopol
UT492	Rostov	Moscow
SU1160	Moscow	Rostov
UN2227	Moscow	Simferopol
SU1143	Anapa	Moscow
UN192	Rostov	Moscow
HY258	Rome	Tashkent
SU1849	Simferopol	Moscow
U6142	Rostov	Moscow
SQ305	London	Singapore
QR168	Stockholm	Doha
UN164	Krasnodar	Moscow
AI116	London	Delhi
UT497	Moscow	Rostov
SU5362	Moscow	Rostov
YC506	Simferopol	Tyumen
S71151	Moscow	Rostov
U62842	Simferopol	Moscow
NN336	Simferopol	Moscow
	Larnaca	Moscow
SU1161	Rostov	Moscow
PS611	Kiev	Yerevan
UT462	Anapa	Moscow
PS517	Kiev	
YC9374	Antalya	Moscow
PS601	Kiev	Baku
EK171	Dubai	Kiev
Y79604		
N41901	Moscow	
SU1825	Simferopol	Moscow
UT502	Anapa	Surgut
N45803	Rostov	
D99701	Rostov	
SU504	Moscow	Tel-aviv
NN346	Simferopol	Moscow
S71152	Rostov	Moscow
SU2075	Larnaca	Moscow
R25996	Anapa	Novosibirsk
PS751	Kiev	Tehran
SU6864	Simferopol	St. Petersburg
YC166	Anapa	Tyumen
UN2228	Simferopol	Moscow
SU1128	Moscow	Sochi
SU5302	Moscow	Rostov
UT491	Moscow	Rostov
SU1274	Moscow	Krasnodar
